REG#,COUNTRY,TYPE: https://www.icao.int/publications/DOC8643/Pages/Search.aspx,MTOW,KG,NOISE(JCAB83=0),FLYOVER,APPROACH,LATERAL,"ORDER KEY 
(RJTT-XXXX)",REMARKS (DATE obtained),,http://noisedb.stac.aviation-civile.gouv.fr/find.php,2.204619880lbs
9HBIG,MALTA, A342 ,260,260000,96,94.6,97.2,95.4,,AIR X CHARTER LIMITED,,,
VPCZW,CAYMAN ISLAND, B737 ,78,77564,91,85.4,95.8,94.9,請求先届の最終版,data obtained on 16FEB17 FROM sino jet,,,
N804MS,U.S.A., B763,176,175540,95,90.7,98.4,95.3,,data obtained on 15FEB17,,,
DATWO,GERMANY, E135 ,22,21863,87,81.2,91.3,84.6,,,,,
N417LX,U.S.A., GLEX ,46,45132,87,82.4,89.7,87.9,,data obtained on 08MAR17,,,
UR82073,UKRAINE,A124,392,392000,106,106,104.6,102.7,,,,,
UR82009,UKRAINE,A124,402,402000,106,106.2,104.9,102.7,,,,,
UR82007,UKRAINE,A124,392,,104.0 ,102.7 ,104.6 ,106,,Certificate obtained on 27SEP2017,,,
UR82008,UKRAINE,A124,392,,104.0 ,102.7 ,104.6 ,106.0 ,,,,,
UR82027,UKRAINE,A124,392,,104.0 ,102.7 ,104.6 ,106,,諸元なし,,,
UR82029,UKRAINE,A124,392,,104.0 ,102.7 ,104.6 ,106.0 ,,,,,
UR82072,UKRAINE,A124,402,,104.0 ,102.7 ,104.9 ,N/A,,,,,
HZNSA,SAUDI ARABIA,A310,153,153000,94,88.6,98.4,94.7,,"(MTOW: 153,000kg; maximum landing weight: 123,000kg)",,,
B77777,REPUBLIC OF CHINA,A318,68,,90.0 ,85.0 ,94.3 ,,,グラフの為LATERAL数値不明,,,
B55411,REPUBLIC OF CHINA,A318,66,,89.0 ,82.2 ,93.9 ,92,,,,,
B6186,CHINA,A318,66,66000,89,82.2,93.9,92,,,,,
N777UE,U.S.A.,A318,68,,89.0 ,83.0 ,93.9 ,91.9,,,,,
B6936,CHINA,A318,68,68000,89,83.0 ,93.9 ,91.9,,,,,
9HUEC,MALTA,A318,68,68000,89,83.0 ,93.9 ,91.9,,,,,
LXLTI,LUXEMBOURG,A318,68,68000,89,83.0 ,93.9 ,91.9,,,,,
VPCLJ,CAYMAN ISLANDS,A318,68,68000,89,83,93.9,91.9,,,,,
B6435,CHINA,A319,76,,90.0 ,84.2,94.4,92.5,,,,,
3085,The Czech Republic,A319,76,,90.0 ,84.5,94.2,94.7,,,,,
B54111,REPUBLIC OF CHINA,A319,77,,90.0 ,85.1,93.7,94.2,,,,,
B8319,CHINA,A319,77,76500,90.0 ,85.1,93.7,94.2,,Departure: Sep/28,,,
HL8080,REP OF KOREA,A319,77,76476,90,85.1,93.7,94.2,,,,,
LXMCE,LUXEMBOURG,A319,77,,90.0 ,85.1,93.7,94.2,,,,,
LXMCO,LUXEMBOURG,A319,77,76499,90,85.1,93.7,94.2,,,,,
