Aircraft type Id,Short name,Manufacturer,Model name,ICAO code,IATA code,Handling category,Fuel type,Fuel process,Max fuel capacity in liter,MTOW kg,MTOW ton,Wing span in meter,Wing area in m2,Length in meter,Height in meter,Number of seats,Range in km,De-ice category,Noise chapter,Noise category,Hanger category,Ground power type,Remarks,Export values,Number of engines,MTOW in US Pounds
79ec6b89-f908-4919-ae0a-8d423dc30f3c, BE-400A,Raytheon,Hawker 400A,BE40,,B_JP8,Jet Fuel,Pressure,,8000,8,,,,,7,,A,,,,115V/AC - 220V/DC,ADP GA : 4,JP Handling Category(Japan): 8,2,17637
25f78926-2ba8-4bc9-b726-84b3585a5742,*C406,Cessna,406,EINN,,B00,Jet Fuel,,,4468,5,,,,,,,,,,,,,,,9850
aacb626d-822d-4465-89d5-4f1d06b30658,*CL650,Bombardier,650,EINN,,B08,,,,22000,22,,,,,,,,,,,,,,,48502
63be3d6d-70df-446a-9cdb-dde2080ee863,269 A/B/C,Hughes,269,H269,,B00,Avgas,Overwing,0,1000,1,,0,,,2,,A,,,,115V/AC - 220V/DC,,MLW(Hawaii): 2050,1,2205
b3167c12-34a1-4d0d-81ee-887627f52399,500C,Hughes,500 Defender,H500,,B00,,,,1157,2,,,,,5,,,,,,,,,,2551
58b3ae7f-ec24-4297-b093-fe0c48893e2d,530F,Hughes,530F,H500,,B00,,,,1610,2,,,,,5,,,,,,,,,,3549
1f6a1d39-da8b-4741-898a-f2630ebfcad2,61 LONG-EZ,Rutan,Rutan Model 61 Long-EZ,LGEZ,,P01,,,,601,1,8,7.6,5.1,2.4,,3.2,,,,,,,,1,1325
d20fe326-4965-47c5-8578-a1824ba5b8b2,A109A,Agusta,A-109,A109,,H01,Jet Fuel,Overwing,568,2600,3,11,,13.07,3.32,7,583,A,,,,28V/DC,,,2,5732
94771e8a-5087-4d6c-8fc5-86b1d868795c,A109E,Agusta,A-109E,A109,,H01,Jet Fuel,Overwing,,2850,3,,,,,7,,A,,,,28V/DC,,,2,6283
abafab23-8c56-4b4c-af9c-988378e96bd3,A109S,Agusta-Westland,A-109S Grand,A109,,H01,,,,3200,4,,,,,7,,,,,,,MTOW got from EASA operational evaluation report 18oct2010- LB has PDF saved,,,7055
9b6c9ff7-c2f4-49db-ba73-47d8d2a0397c,A-119 Koala,Agusta-Westland,A-119 Koala,A119,,B00,,,,4250,5,,,,,6,,A,,,,,,,3,9370
5b71bd71-ba32-4f2c-996d-7636a77e74ce,A-300-100,Airbus Industries,A-300-100,A30B,,C04,,,,157143,158,,,,,300,,,,,,,,JP Handling Category(Japan): 2,,346441
fe7284f3-d628-4428-892b-5c1eadb0317c,A-300-200,Airbus Industries,A-300-200,A30B,,C04,,,,164971,165,,,,,380,,,,,,,,JP Handling Category(Japan): 2,,363699
6f26bac7-c863-4b4e-a4f0-a7b80f6abaab,A-300-600,Airbus Industries,A-300-600,A306,AB6,C04,Jet Fuel,Pressure,62080,171500,172,44.84,,53.62,16.53,266,3420,E,,,,115V/AC - 220V/DC,,JP Handling Category(Japan): 2,2,378093
ff8621df-d4b9-4f4f-84fd-c5fd1acd378b,A-300B2,Airbus Industries,A-300B2,A30B,ABX,C04,Jet Fuel,Pressure,,165000,165,44.85,,54.08,16.62,220,,E,,,,115V/AC - 220V/DC,ADP GA : 5,JP Handling Category(Japan): 2,2,363763
85a182b9-dde1-4e77-89be-9faf5ebb2b1e,A-300B4,Airbus Industries,A-300B4-200,A30B,,C04,,,,165000,165,,,,,266,,,,,,,,,2,363763
29d41d13-f722-47d3-8a77-67ab6e986bec,A300ST,Airbus Industries,A300ST Beluga,A3ST,,C04,Jet Fuel,Pressure,,155000,155,,,,,2,,E,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 121.00",2,341716
131d5634-7dfc-40f6-97cc-48128e51c48a,A-310,Airbus Industries,A-310,A310,,C_JP3,Jet Fuel,Pressure,61070,157000,157,43.9,,46.66,15.8,220,8050,D,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 3, Singapore WSSS PF(Singapore): 102.85",2,346126
e0054b36-988b-4cbd-9817-4d1123c60633,A-318,Airbus Industries,A-318,A318,318,C_JP4,,,,68000,68,,,,,107,,,,,,,,Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes,,149914
864f8de4-c630-49de-b170-a440ba8bc0c6,A318CJ,Airbus Industries,A-318 Elite,A318,,C_JP4,Jet Fuel,Pressure,,68000,68,34.09,122.6,31.44,12.56,38,,C,,,,115V/AC - 220V/DC,Corporate Jet / ADP GA : 5,"Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, JP Handling Category(Japan): 4",2,149914
6d472f6c-e774-4cb0-8bd6-e4f07d772521,A-319,Airbus Industries,A-319,A319,,C_JP4,Jet Fuel,Pressure,29840,76000,76,34.1,,33.84,11.76,124,6800,C,,,,115V/AC - 220V/DC,ADP GA : 5,"Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, JP Handling Category(Japan): 4, MDJB - MDLR Handling(Dominican Republic): CAT VIII, Noise cat EGSS(STANSTED): CH3minus",2,167551
77d28199-874b-481a-b98b-be8a9300c125,A319CJ,Airbus Industries,A-319 ACJ,A319,319,C_JP4,Jet Fuel,Pressure,34430,75500,76,34.1,,33.84,11.76,156,11100,C,,,,115V/AC - 220V/DC,,"Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, MDJB - MDLR Handling(Dominican Republic): CAT VIII, Noise cat EGSS(STANSTED): CH4",2,166449
41e0f5da-d40a-4b56-974d-ee220ee5fe63,A-320,Airbus Industries,A-320,A320,,C_JP4,Jet Fuel,Pressure,23859,77000,77,33.9,,37.6,11.8,180,5000,C,,,,115V/AC - 220V/DC,ADP GA : 5,"CAT LIDER(Brazil): E, JP Handling Category(Japan): 4, MDJB - MDLR Handling(Dominican Republic): CAT VIII, MLW(Hawaii): 142200",2,169756
26ae7ade-84b3-4cf8-b249-ea54c03a5c6c,A-321,Airbus Industries,A-321,A321,,C02,Jet Fuel,Pressure,23700,89000,89,34.1,,44.51,11.76,185,4400,C,,,,115V/AC - 220V/DC,ADP GA : 5,Singapore WSSS PF(Singapore): 98.00,2,196211
c7f34b64-401a-45e1-8034-917a7b3ee3c8,A-330-200,Airbus Industries,A-330-200,A332,,C_JP2,Jet Fuel,Pressure,139100,230000,230,60.3,,58.8,17.4,293,12500,E,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 175.60",2,507063
64a5a386-2fbd-4853-ab73-d3a1453cb36f,A-330-300,Airbus Industries,A-330-300,A333,,C05,Jet Fuel,Pressure,97170,230000,230,60.3,,63.6,16.85,300,10500,E,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 190.15",2,507063
419c289a-c87b-4656-8c32-efb21ade6cda,A330-900,Airbus Industries,A330-900,A330-900,,C05,,,,242000,242,,,,,,,,,,,,,,,533519
8f578613-329c-4a41-8a69-3ffaa4218f16,A-340-200,Airbus Industries,A-340-200,A342,,C_JP2,Jet Fuel,Overwing,155040,257000,257,60.03,,59.39,16.7,261,14800,E,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 175.60",4,566588
3d17ce21-9552-4bc4-8a16-2d866b895585,A-340-300,Airbus Industries,A-340-300,A343,,C_JP2,Jet Fuel,Pressure,140640,253000,253,60.3,,63.6,16.85,335,13350,E,,,,115V/AC - 220V/DC,ADP GA : 5,"Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 190.15",4,557769
b5f041ea-eb28-489a-900d-9e09a9b9c9ef,A-340-500,Airbus Industries,A-340-500,A345,,C_JP2,Jet Fuel,Pressure,214810,372000,372,63.5,,67.9,17.1,375,16100,E,,,,115V/AC - 220V/DC,ADP GA : 5 MTOW per http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/a340-500/specifications/,"CAT LIDER(Brazil): E, JP Handling Category(Japan): 2, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 214.40",4,820120
bba19198-da7d-48b0-b3ee-be0a19b325e1,A-340-600,Airbus Industries,A-340-600,A346,,C06,Jet Fuel,Pressure,195881,368000,368,63.45,,75.3,17.3,475,14360,E,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 2, Singapore WSSS PF(Singapore): 233.80",4,811301
