Airport,Company.Name,Purpose,TEL,Remarks
RJTT,CAB,SLOT/SPOT 調整,03-5757-3039,
RJTT,税関,NACCS、税関申請、運航関連（取締本部）,050-5533-6933,
RJTT,税関,BJ利用ー税関対応（旅具パーサー）,050-5533-6944,
RJTT,入管,BJ利用ー入管対応,03-5708-3215,出/入国関係なく、BJ利用時STANDBYします
RJTT,入管,BJ利用ー入管対応,03-5708-3220,出/入国関係なく、BJ利用時STANDBYします
RJTT,検疫,仮検疫済証、入国関しての問い合わせ,03-6847-9313,
RJTT,検疫,仮検疫済証、入国関しての問い合わせ,070-1593-1660,
RJTT,検疫（動物）,動物出入国関しての問い合わせ,03-5757-9752,
RJTT,検疫（植物）,植物輸出入関しての問い合わせ,03-5757-9790,
RJTT,検疫（植物）,植物輸出入関しての問い合わせ,03-5757-9792,
RJTT,JAL,ハンドリング関する問い合わせ,03-5756-3405,運航前日までの調整窓口（平日0900-1700）
RJTT,JAL,ハンドリング関する問い合わせ,03-5756-3413,運航当日の調整窓口（当日及び航務部時間外）
RJTT,JAL,旅客部,03-5757-7703,
RJTT,JAL,現場 INTERPHONE,03-5757-7780,
RJTT,JAL,"窒素、酸素手配（N2, O2）",0476-32-5415,
RJTT,JGS,ハンドリング関する問い合わせ,03-5757-7804,運航当日の調整窓口
RJTT,JGS,ハンドリング関する問い合わせ,03-5756-9209,運航前日までの調整窓口
RJTT,JGS,BAG HANDLING,03-5757-7801,
RJTT,BJ,BJ利用ー受付,03-6428-0450,BLOCK IN OUT 連絡必要
RJTT,リムジンバス,RAMP TRANS,03-5757-9470,
RJTT,日の丸リムジン,CREW TRANS,03-3215-0818,
RJTT,アイサンクス,PAX TRANS,03-6420-3781,
RJTT,セルート,ケータリング,0120-941-427,デリバリー
RJTT,GGJ,ケータリング,044-280-2298,日中連絡先、SHIP SIDEに来れる
RJTT,GGJ,ケータリング,044-280-2292,夜間連絡先、SHIP SIDEに来れる
RJTT,TFK,ケータリング,03-5757-9657,日中連絡先
RJTT,TFK,ケータリング,03-5757-9664,日中連絡先
RJTT,TFK,ケータリング,03-5757-9665,日中連絡先
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,03-5757-8781,日中連絡先
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,080-8431-9859,夜間連絡先、携帯No.1
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,080-9357-2149,携帯No.2
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,080-9357-2148,携帯No.3
RJTT,日本空港テクノ,ハンドリング関する問い合わせ,080-8495-2105,携帯No.4
